Dataset,Accuracy,Model
BERT+EfficientNet,0.5485802499097818,Logistic Regression
BERT+EfficientNet,0.5670615868701343,SVC
BERT+EfficientNet,0.5748691044231202,XGBoost
BERT+EfficientNet,0.5904752759833787,CatBoost
BERT+EfficientNet,0.5781579019565223,LightGBM
TF-IDF+EfficientNet,0.4594456907340071,Logistic Regression
TF-IDF+EfficientNet,,SVC
TF-IDF+EfficientNet,0.5411905852261575,XGBoost
TF-IDF+EfficientNet,0.5832932715136192,CatBoost
TF-IDF+EfficientNet,0.5422183344553456,LightGBM
BERT+DenseNet,0.5167438709636574,Logistic Regression
BERT+DenseNet,0.5072963864168273,SVC
BERT+DenseNet,0.5758968536523084,XGBoost
BERT+DenseNet,0.5943792457966744,CatBoost
BERT+DenseNet,0.5754851208502251,LightGBM
TF-IDF+DenseNet,0.3836520340782229,Logistic Regression
TF-IDF+DenseNet,,SVC
TF-IDF+DenseNet,0.5360562708530741,XGBoost
TF-IDF+DenseNet,0.5818548446663614,CatBoost
TF-IDF+DenseNet,0.5481744261381742,LightGBM
